,MSE,RMSE,MAE,Count,Avg_Actual,Avg_Predicted
DOO,0.3245266536715296,0.5696724090839661,0.40861213908645383,265.0,96.04708679245283,96.022216796875
NOR,0.7039649035494329,0.8390261638050585,0.4704663932256512,3241.0,88.50586516507249,88.59214782714844
SAI,0.7435255426291507,0.8622792718308557,0.4629355023680912,3017.0,89.15449917136229,89.15740203857422
LEC,0.7931687159952149,0.8906001998625505,0.44032185773962557,3121.0,89.25023710349247,89.25482940673828
HAD,0.8196973527818735,0.9053713894208683,0.5119561031627006,588.0,87.08871428571427,87.07587432861328
VER,0.8342108671493732,0.9133514477731851,0.4486853806021828,3180.0,88.80906194968553,88.83382415771484
ALO,0.8513417017523918,0.9226817987542573,0.4993272798827497,3112.0,89.6280697300771,89.66149139404297
HAM,0.8522349013933249,0.9231656955245493,0.4842492157667451,3163.0,88.82670850458425,88.83550262451172
TSU,0.8646056482060792,0.929841732880429,0.5117910184982368,2889.0,89.6220346140533,89.64729309082031
RUS,0.8889515975284332,0.9428422972737451,0.4612243081632794,3218.0,89.14216594157861,89.1549301147461
ALB,0.9073561836166272,0.9525524571469159,0.5150193533965496,2731.0,90.5371512266569,90.52374267578125
RIC,0.9093483885429823,0.9535976030501452,0.5166703993065477,1367.0,90.06470080468178,90.05132293701172
OCO,0.9174974497064835,0.9578608717900964,0.513499013835032,2873.0,89.87116916115559,89.8803482055664
GAS,0.9314286177936679,0.9651054956809996,0.5064310379288355,2934.0,89.75884083162919,89.79006958007812
MAG,0.9601788625667848,0.9798871682835656,0.5445175366295893,2299.0,90.87929143105697,90.92692565917969
PIA,1.019182994244216,1.0095459346875784,0.49805957549673024,3167.0,88.29032333438586,88.38179779052734
BOT,1.0953755549922668,1.0466019085556202,0.5763573596285343,2469.0,90.41652733900365,90.37664794921875
STR,1.1030144669571507,1.0502449556923141,0.5093085109031686,2927.0,89.60025555175947,89.63850402832031
ZHO,1.1030180904719407,1.0502466807716846,0.5716766166594197,2466.0,90.4358402270884,90.41259765625
LAW,1.143924221300122,1.0695439314493453,0.5391613641902929,1186.0,89.71062225969646,89.74462890625
HUL,1.1843713357354726,1.0882882594861862,0.5420411302312915,3091.0,90.55031737301843,90.52276611328125
PER,1.2241369277841447,1.1064072160755933,0.5194479303102234,2368.0,89.8453589527027,89.82923126220703
DEV,1.3058589939312104,1.1427418754606005,0.5299638477466724,540.0,87.49632222222222,87.47907257080078
SAR,1.386291854617739,1.1774089581015337,0.5854456634960713,1737.0,90.88573920552676,90.93608093261719
COL,1.4217372011592324,1.1923662193970577,0.6105331989712185,720.0,88.19960416666666,88.23426818847656
ANT,1.6143193673837,1.2705586831719737,0.5207972619398585,530.0,89.07682641509435,89.01832580566406
BOR,1.7825132509514683,1.3351079547929705,0.5490695203014254,582.0,87.24732817869418,87.10169982910156
BEA,2.5133665482084195,1.5853600689459855,0.5994948993338868,743.0,89.21543203230149,89.20518493652344
